wordform	frequency	dispersion
;	81	0.5386592508321748
fact	56	0.5978746981344295
louisa	4	0.9221832980008319
may	38	0.6945367432955949
alcott	4	0.9221832980008319
massachusetts	1	0.9866738835180147
umm--	1	0.9866738835180147
hated	15	0.8535881282795327
later	80	0.5641774794144327
drawing	6	0.867335227756812
blank	1	0.9866738835180147
cinderella	9	0.9211508873218964
also	131	0.4934041215245231
wicked	1	0.9866738835180147
stepsisters	1	0.9866738835180147
sometimes	48	0.6669780186736028
running	70	0.6124786376188399
most	124	0.4044171770115477
impact	13	0.9146156274901894
heidi	4	0.9866738835180147
alps	1	0.9866738835180147
good	249	0.3787630865057862
girl	79	0.5979304714483001
tell--	1	0.9866738835180147
record	4	0.9416938551517794
roy	1	0.9866738835180147
rogers	1	0.9866738835180147
gabby	1	0.9866738835180147
hayes	1	0.9866738835180147
quote	7	0.9111425177790137
funny	51	0.651534273705573
description	1	0.9866738835180147
cowboy	3	0.9756932437240957
paraphernalia	1	0.9866738835180147
existent	1	0.9866738835180147
tapaderos	1	0.9866738835180147
protect	2	0.9756381149985214
boots	5	0.955435942926734
saddle	1	0.9866738835180147
[	16	0.8641327499711823
laughs	3	0.9000616439385967
reverts	1	0.9866738835180147
`	67	0.6508877333050282
normal	7	0.8901234382282629
]	16	0.8641327499711823
sort	95	0.6436091431387027
silly	7	0.9096540421885099
fun	73	0.594205964076804
real	120	0.4092403261615875
red	22	0.7383907332712791
badge	2	0.9866738835180147
courage	2	0.9866738835180147
serious	6	0.9314198653856754
upon	13	0.8540742634050505
character	18	0.8411591065137093
afraid	19	0.7898242395994648
ran	28	0.7388443086034463
away	94	0.4675228893508895
conquered	1	0.9866738835180147
fear	8	0.9318057664646949
least	54	0.5597013470898992
thinking	44	0.6246686011837641
affected	4	0.9654593475765914
abhorred	1	0.9866738835180147
aladdin	1	0.9866738835180147
lamp	6	0.922027935228759
genie	4	0.9866738835180147
scared	36	0.8002435687329914
half	52	0.624836396832758
death	12	0.7912174928457948
bottle	6	0.9016453418732739
picture	20	0.804072509309237
book	139	0.6907436417992847
loving	11	0.9312244089950031
scary	37	0.7461923591586355
ooh	21	0.8216335142557871
'd	448	0.41253245972202224
