item	frequency	dispersion	REF	PRED	MOD
ciq-inkʷ	1	0.9896007650011953	0	0	0
ḥaːw̓iːḥaƛ	8	4.186588572794645	0	0	0
hiːhiːq-šaḥap	4	2.4123834568491516	0	0	0
ʔu-wink	1	0.9896007650011953	0	0	0
čiːc-y̓akʷ-štu·p	1	0.9896007650011953	0	0	0
wica	2	1.4896007650011946	0	0	0
ʔu-ʼiːḥ	1	0.9896007650011953	0	0	0
muwač	11	5.738943342098972	0	0	0
hihiq-tu·p	7	3.9252928520200814	0	0	0
c̓us-ʼi·tap-w̓it̓as	1	0.9896007650011953	0	0	0
č̓iːma	8	4.425173320583314	0	0	0
ʕakʷ	1	0.9896007650011953	0	0	0
ƛaḥ-c̓a	1	0.9896007650011953	0	0	0
ʔiq	6	3.3240497250776952	0	0	0
ʕaːḥuːsʔatḥ	11	5.7817355964618695	0	0	0
ɬawyer	1	0.9896007650011953	0	0	0
ʔu-aqsti·-ckʷi·	1	0.9896007650011953	0	0	0
piːpaː	1	0.9896007650011953	0	0	0
ƛiːsy̓ak	1	0.9896007650011953	0	0	0
yaq	28	14.245039445374134	0	0	0
ƛ̓ax̣-y̓akʷ	1	0.9896007650011953	0	0	0
ʔu-aqsti·	3	1.762251972268707	0	0	0
nani·qsu	10	5.372818551278986	0	0	0
ʔaːna	3	1.9715515180492464	0	0	0
ƛ̓ax̣	1	0.9896007650011953	0	0	0
qʷaː-čiːɬ	2	1.4557733683958878	0	0	0
mamuːk-yaq-ʽiɬ	1	0.9819507530480517	0	0	0
ʔumʔi·qsu	17	8.760937126464261	0	0	0
ƛ̓up	7	3.731651924456132	0	0	0
hiɬ-aʕaq-ʽiɬ	2	1.4385608415013142	0	0	0
maʔiƛqac	4	2.4819507530480522	0	0	0
c̓iːḥati	2	1.3497489839827872	0	0	0
naqmiːḥa	3	1.8497489839827868	0	0	0
t̓eːn̓a	3	1.9819507530480514	0	0	0
naq-uːti	1	0.9819507530480517	0	0	0
wim̓aːqƛ	13	6.773248864451352	0	0	0
t̓an̓a	9	4.655749462108535	0	0	0
c̓iːḥatiq-iːɬ	1	0.9819507530480517	0	0	0
čaʔaːɬ-či·	6	3.380109968921826	0	0	0
naq-uːti-či·s	1	0.9819507530480517	0	0	0
huʔa-aːs	7	3.6766674635429113	0	0	0
waːs	1	0.9819507530480517	0	0	0
ʔu-ḥta·-sa	1	0.9819507530480517	0	0	0
xaːšxiːp	8	4.481950753048052	0	0	0
ɬaːkcaḥi-cum	1	0.9819507530480517	0	0	0
wik̓iːt	25	12.370666985417165	0	0	0
wik-stup	4	2.254601960315563	0	0	0
wik-ʕaƛ	4	2.3933779584030597	0	0	0
naʔa·	17	8.407841262251972	0	0	0
n̓ač-misa	1	0.9819507530480517	0	0	0
ʔu-m̓a-ʔiː	1	0.9819507530480517	0	0	0
n̓aːcsiː	14	6.987807793449676	0	0	0
mat-misa	1	0.9819507530480517	0	0	0
nay̓iːk	18	8.949318670810424	0	0	0
kamatqʷ	5	2.800741094907961	0	0	0
sukʷiƛ	8	4.284604350944299	0	0	0
č̓axʷac	2	1.481950753048051	0	0	0
wik-sa	8	4.189337795840307	0	0	0
wawaː-qčik	2	1.481950753048051	0	0	0
ni-cwi·	2	1.481950753048051	0	0	0
waɬ	19	9.659813530958642	0	0	0
kacutum	1	0.9819507530480517	0	0	0
ƛawa-ʔi·	1	0.9819507530480517	0	0	0
naq	11	5.613196270619174	0	0	0
kʷis-ca	9	4.7675113554864925	0	0	0
mat	7	3.8263208223762852	0	0	0
mat-wa·s	1	0.9819507530480517	0	0	0
mat-a·s	2	1.481950753048051	0	0	0
hiɬ-a·s	2	1.3675591680612	0	0	0
ƛawa-uɬ	4	2.4151326798948123	0	0	0
wi-ʕaƛ-p̓ičḥ	1	0.9819507530480517	0	0	0
ʕiḥ-p̓ičḥ	2	1.481950753048051	0	0	0
t̓iqʷ-ʼi·(ƛ)	1	0.9819507530480517	0	0	0
ʕiḥ	7	3.7599808749701173	0	0	0
ʔaʔum	5	2.807673918240497	0	0	0
naq-uːti-ʼi·s	1	0.9819507530480517	0	0	0
naʔa·-suːk	1	0.9819507530480517	0	0	0
naːw̓aḥi	4	2.458881185751853	0	0	0
qiː-p̓it-ʕaƛ	1	0.9819507530480517	0	0	0
ʔuːš-su·qstu(ƛ)	4	2.3446091322017693	0	0	0
ʔayu-p̓it-ʕaƛ	1	0.9819507530480517	0	0	0
ʔu·qumḥi-qaq	1	0.9566100884532632	0	0	0
ƛumk	8	4.409992828113794	0	0	0
muwač-m̓i·t	34	17.403060004781256	0	0	0
ʕa·siq-na·k	3	1.9331819268467605	0	0	0
ɬiɬiːtapi	2	1.456610088453263	0	0	0
čiː-n̓i-san̓ap	1	0.9566100884532632	0	0	0
ʔuxʷaːpi	4	2.435572555582118	0	0	0
ƛiḥ	14	7.102438441310065	0	0	0
ʔu-ca-ḥta	11	5.636983026535979	0	0	0
quː-ʼa·	4	2.2292612957207747	0	0	0
qiːy-ačišt	1	0.9566100884532632	0	0	0
yaːɬ	7	3.6318431747549607	0	0	0
ƛušinqak	1	0.9566100884532632	0	0	0
saya·-šti·p	1	0.9566100884532632	0	0	0
ḥamip	7	3.649653358833373	0	0	0
qʷayac̓iːk-štaqmuɬ	1	0.9566100884532632	0	0	0
yaqʷ-wi·-ʼiɬ	1	0.9566100884532632	0	0	0
ʔu·q	4	2.377002151565862	0	0	0
šiːƛuk	3	1.9331819268467605	0	0	0
ʔuqɬaːp	3	1.7100167344011474	0	0	0
wik-ʼa·p	1	0.9566100884532632	0	0	0
ƛ̓iːxʷ-p̓ičḥ	1	0.9566100884532632	0	0	0
