item,gloss,token_freq,rel_freq,dispersion,flexibility
ʔinkʷ-ʽiɬ,fire-on.the.floor,4,0.478,0.908,0.000
ʔišc̓iːp-m̓i·t,gum-son.of,4,0.478,0.916,0.512
ʕišiː,ankle,5,0.598,0.978,0.000
ʔiʔišpaːɬ,(fish.name),6,0.717,0.916,0.000
ʔu-(w)a(ƛ),it-come.upon,7,0.837,0.735,0.000
ʔu-(w)aƛ,it-find,4,0.478,0.788,0.000
ʔu-(y)i·,it-give,5,0.598,0.739,0.000
ʔuː,oh,4,0.478,0.939,0.000
ʔuːš,some,20,2.391,0.556,0.920
ʔuːš-ckʷi·,some-remains.of,5,0.598,0.634,0.000
ʔuːš-su·qstu(ƛ),some-in.mind,4,0.478,0.845,0.000
ʔuːš-yuːya,some-times,26,3.108,0.412,0.000
ʔu-ca,it-go.to,47,5.618,0.376,0.000
ʔu-ca-ḥta,it-go.to-apart,11,1.315,0.659,0.000
ʔu-ca-ḥta·k,it-go.to-headed.for,5,0.598,0.868,0.000
ʔu-cpa·,it-go.over,6,0.717,0.788,0.579
ʔučq,foggy,4,0.478,0.957,0.000
ʔučq-c̓u·,fog-inside,4,0.478,0.957,0.000
ʔuḥ,being.it,28,3.347,0.312,0.000
ʔu-ḥta·,it-doing.to,7,0.837,0.776,0.000
ʔu-ḥʷʼaɬ,it-using,18,2.152,0.704,0.000
ʔu-ḥʷʼaɬ-ckʷi·,it-using-happened,4,0.478,0.891,0.000
ʔuḥʔiːš,and,4,0.478,0.769,0.000
ʔu-iːc,it-belonging.to,4,0.478,0.842,0.000
ʔu-ʼiːḥ,it-hunting,11,1.315,0.644,0.000
ʔu-iːy̓ip,it-obtain,4,0.478,0.674,0.000
ʔu-ʼi·c,it-consume,12,1.434,0.532,0.000
ʔu-kɬa·,it-having.as.name,21,2.510,0.542,0.000
ʔu-ksnaʕaːɬ,it-handling,5,0.598,0.955,0.000
ʔu-ktis,it-acting.by.ref.to,7,0.837,0.612,0.000
ʔu-kʷiːɬ,it-make,4,0.478,0.841,0.000
ʔu-kʷiɬ,he-doing.to,18,2.152,0.379,0.000
ʔumč̓aːp,entertain,4,0.478,0.934,0.512
ʔumʔi·qsu,mother,17,2.032,0.786,0.204
ʔu-n̓a·ḥ,it-seeking,19,2.271,0.561,0.000
ʔu-na·k,it-having,28,3.347,0.448,0.140
ʔuna-ḥ,that.much-size,4,0.478,0.646,0.512
ʔunic,how.much.time.spent,9,1.076,0.601,0.625
ʔunic-ḥn̓a·k,traveling.time-in.between,4,0.478,0.836,0.512
ʔunw̓iːƛ,there.is.a.reason,13,1.554,0.620,0.000
ʔu-qḥɬi,it-tell.about,7,0.837,0.879,0.000
ʔu-qs,it-in.a.vessel,9,1.076,0.725,0.000
ʔu-sa·ḥi,it-because.of,5,0.598,0.743,0.000
ʔu-taq,it-working.on,5,0.598,0.856,0.000
ʔu-waƛ,it-find,4,0.478,0.934,0.000
ʔuxʷaːpi,paddle,4,0.478,0.936,0.512
ʔuyaː-siɬa,peculiar-act.like,8,0.956,0.665,0.000
ʔuyi,at.that.time,28,3.347,0.430,0.000
ʕuy̓i,medicine,4,0.478,0.755,0.000
ʔu-y̓i·ḥa,it-because.of,7,0.837,0.589,0.000
ʔuʔumḥi,just.right,8,0.956,0.823,0.000
