wordform	frequency	dispersion
language	130	0.9622363031984669
remembered	33	0.9772483865690943
freshmen	9	0.9952968990645036
american	537	0.8712511458368698
tragedy	10	0.9927712739854136
ended	309	0.8825039583455505
living	660	0.7812384989590779
subject	299	0.8907941073892209
many	2231	0.4896453745190248
town	657	0.8055830470905067
young	725	0.7879394689489784
man	641	0.7955405459327143
charged	76	0.975787579591295
murder	181	0.9529665215016098
retrospect	6	0.9955104799706173
lend	7	0.9965654214982144
dostoevsky	1	0.9991793184546862
dr	23	0.9898468822434641
zhivago	1	0.9991793184546862
notice	156	0.9315596653076093
differences	50	0.9815706221315501
writer	34	0.9867641566794958
someone	1066	0.7298651629382471
descent	7	0.9957166534464614
cultural	26	0.9902441056916842
writing	164	0.9488834842082843
go	13	0.985994092574359
final	51	0.9781613523498534
question	443	0.8493526994903285
imparted	3	0.9982481427411817
important	672	0.8313197753476318
majors	17	0.9930996700607104
brother	385	0.8784443418395992
am	1058	0.692223245502211
philosophy	54	0.9790838860613771
imagine	430	0.8303093528066445
pure	39	0.9815675357022711
enjoyment	30	0.9880774323377542
growth	27	0.98935120170124
broadening	1	0.9991793184546862
knowledge	86	0.9681440374815976
base	168	0.9435982827107499
fundamental	12	0.9955067762554825
truly	78	0.9713783067231687
sad	276	0.9001376547458475
retired	144	0.9538279439134075
aliteracy	1	0.9991793184546862
volunteer	96	0.97577801166053
literacy	10	0.9955718999132716
capacity	20	0.9904357729499165
handicap	11	0.9951536887459533
intellectual	13	0.9947632554421468
stimulation	12	0.9964969027682182
often	524	0.8208058706900632
superior	7	0.996824990200587
ideas	129	0.9515930604724098
listening	168	0.9465229830956271
street	399	0.8604747929193541
corner	72	0.9687048416816104
gazing	1	0.9991793184546862
tv	839	0.8250361313634476
pleasure	61	0.972870595279615
country	1218	0.7285313465486319
tranquil	1	0.9987141935623254
livestock	7	0.9981006114216396
early	415	0.8449358779442911
milk	114	0.967521504696003
cows	22	0.9953024546372058
run	926	0.7253653417336824
pastures	1	0.9987141935623254
sent	184	0.9320019506233045
daughter	565	0.8442404156879434
pasture	11	0.992704915755913
bring	459	0.8316553446152605
brought	294	0.8810684600878398
group	422	0.8691767567183849
looked	476	0.8310779657712914
soldiers	31	0.9908339223269215
clothes	280	0.9318899132404727
then	53	0.9730344846743348
cam	6	0.9970709786141316
almost	1071	0.6529115199485842
green	228	0.9371056700792288
pale	2	0.9983145009706815
mama	60	0.979761048645212
guerrillas	21	0.9987141935623254
gue	1	0.9987141935623254
guerillas	2	0.9980740681298405
weeks	567	0.8199560689523101
arrived	21	0.9949172682631735
control	510	0.8745666123757694
steal	59	0.9772480779261666
kill	241	0.9214901897845369
harm	16	0.9890172500532416
worked	838	0.7471525078589573
mil	2	0.9981314757144306
military	291	0.9298324994830234
informing	1	0.9987141935623254
alone	204	0.914211463615629
son	609	0.8407269218040879
seek	23	0.9902709576264129
animals	137	0.9591859851419303
including	64	0.9707838604440138
doves	2	0.9980706730576331
castile	1	0.9987141935623254
turkeys	8	0.9978978330180026
ducks	8	0.995588566631379
hens	2	0.9983854888441013
pigs	12	0.9955194306155266
sell	330	0.8944823903777487
yogurt	7	0.9972601767289403
cheese	76	0.9776777088818172
hog	9	0.9951141824511807
plump	1	0.9987141935623254
everyone	454	0.8521180620927837
kept	392	0.8510189846264963
buy	1195	0.7338450228441611
already	520	0.8123105318226304
sudden	153	0.9281182966614095
fellow	79	0.9674063808838917
jose	12	0.9943163404825329
chepon	1	0.9987141935623254
tall	61	0.9661606980268459
white	359	0.8856567329582106
giving	226	0.9082058895243504
tomorrow	76	0.9742551674542207
piedras	1	0.9987141935623254
sal	1	0.9987141935623254
level	328	0.8922509020089565
gathered	18	0.9883950259105737
able	1213	0.6487034430940445
chepe	1	0.9987141935623254
board	137	0.9502106487982985
appoint	2	0.998197525301004
vice	33	0.9849443979765378
secretary	46	0.9808298791045661
treasurers	1	0.9987141935623254
committee	20	0.9937524498532402
battalions	1	0.9987141935623254
arrive	6	0.9962114080599015
attend	27	0.9886187920333087
example	282	0.910666082302723
rest	374	0.8528575705480572
food	723	0.8691765629094087
picked	251	0.8992194420353149
says	609	0.7882224387655598
less	679	0.7846675452702002
ability	102	0.9553189978981423
forsaken	1	0.9987141935623254
mothers	108	0.9652474236031594
really	22	0.9861030435279113
motioned	1	0.9987141935623254
cut	528	0.844807332925736
head	278	0.8803987049342749
left	580	0.788422803774086
morning	561	0.8365337547338105
san	270	0.9384748101074395
miguel	5	0.9987141935623254
called	1082	0.6863138803074386
chapeltique	4	0.9987141935623254
salomon	1	0.9987141935623254
posada	1	0.9987141935623254
lodging	6	0.9973570906083046
live	1631	0.6092785618406757
that	54	0.9708304655261275
longer	327	0.8746961483524037
look	1812	0.5543915776809253
lots	449	0.8563362849885338
problems	879	0.7663159496331396
for	4	0.9944376371532003
owned	127	0.949126694835479
land	181	0.9371942505995393
gave	385	0.8492214121391987
late	337	0.8800733952882563
waited	49	0.9766240019259321
dark	105	0.960410988922806
neighbor	136	0.942160006666687
grown	173	0.9263405133966466
