item	frequency	GER	INF	MOD	PRED	PREDCXN	REF	dispersion	dispersionREF	dispersionPRED	dispersionMOD	dispersionNorm	dispersionREFNorm	dispersionPREDNorm	dispersionMODNorm	gloss
time	7523	NaN	NaN	93	11	NaN	7310	0.30917540535286714	0.31335284868023144	0.9956187202091559	0.9574253030351897	0.30918727895900355	0.313364882717359	0.9956569560595538	0.9574620721014105	
transfer	80	NaN	NaN	9	49	NaN	7	0.9676726620859994	0.9963578941223988	0.978077318328655	0.996500444702509	0.9677098246929198	0.9963961583601127	0.9781148805171335	0.996538714414751	
try	3814	NaN	NaN	109	2764	NaN	28	0.40654378680615144	0.9856622995190436	0.4540322722003992	0.951346012347213	0.4065593997582756	0.9857001530019707	0.45404970890551866	0.9513825479436883	
two	4232	NaN	NaN	3106	0	NaN	649	0.3830311109137702	0.763718182905289	1	0.4239842218494794	0.3830458208825136	0.7637475128220483	1	0.42400050458598154	
understand	896	NaN	NaN	3	752	NaN	4	0.724187731814762	0.9981099759292271	0.756241580222335	0.9987830973107391	0.7242155435997473	0.9981483074540827	0.7562706230068258	0.9988214546862219	
want	5053	NaN	NaN	23	4899	NaN	7	0.373867933564433	0.9971099713209116	0.3789233556980207	0.9885249855222046	0.3738822916295097	0.9971482644414806	0.37893790791208287	0.9885629489440385	
watch	2134	NaN	NaN	40	1329	NaN	36	0.7301227291051836	0.9864647609743196	0.7925088516165913	0.9797633476037505	0.7301507688184549	0.9865026452750643	0.7925392872133458	0.979800974542682	
way	3962	NaN	NaN	1	1	NaN	3730	0.3764562230431289	0.38788841933071	0.9996476174237346	0.9993855578443507	0.37647068050915833	0.387903315840058	0.9996860080003426	0.9994239383567938	
week	1493	NaN	NaN	3	0	NaN	1476	0.6274191756208827	0.6286905053738028	1	0.9987935428273836	0.6274432710956351	0.6287146496728423	1	0.9988319006040172	
whole	1753	NaN	NaN	1682	0	NaN	41	0.5455503739907946	0.979962734083259	1	0.5508004746554688	0.5455713253671208	0.9800003686794506	1	0.550821627657236	
woman	1109	NaN	NaN	38	0	NaN	966	0.8274599955944939	0.8372112313881627	1	0.9929302285571189	0.8274917734588104	0.8372433837400068	1	0.9929683611583889	
wonder	669	NaN	NaN	4	589	NaN	26	0.7929975099731638	0.9879913425100246	0.8136596635621972	0.9983317895474161	0.7930279643364072	0.9880292854377738	0.8136909114370506	0.998370129590826	
work	6365	NaN	NaN	323	3696	NaN	1380	0.42302116209857593	0.6447221021722455	0.4748972906572141	0.9049866589246955	0.42303740784962585	0.6447468621504846	0.47491552866478803	0.9050214141314834	
worst	152	NaN	NaN	111	0	NaN	32	0.9367130724104711	0.9863535469441476	1	0.954655397797531	0.936749046041918	0.9863914269738164	1	0.9546920604880076	
year	6773	NaN	NaN	3	2	NaN	6728	0.3548135005318431	0.3551170547284408	0.9991600575732288	0.9987723445730151	0.35482712682838624	0.3551306926827126	0.9991984294255348	0.9988107015355486	
