wordform	frequency	dispersion
parts	249	0.905398949611135
scary	304	0.9054809776389133
teach	344	0.9055356629907676
student	309	0.9058054239761988
played	368	0.9058843380430988
eventually	239	0.906056402717677
men	413	0.906183186831093
price	316	0.9061906583286853
yard	402	0.9063559432685538
law	394	0.9064143152733422
national	343	0.9065762207813558
weather	521	0.906604616618211
attention	238	0.9067676195128388
buying	273	0.9067842026989302
extra	288	0.9075491899348225
size	259	0.9075759181685927
wanna	422	0.9077670096789994
giving	226	0.907810327850973
jobs	294	0.9083126343132145
lose	248	0.9083762290763238
united	305	0.9086407464243295
loved	231	0.9090072611701725
community	355	0.9094327623629597
died	284	0.9095546631432294
likes	280	0.9098392158489207
unfortunately	256	0.910037987886273
game	453	0.9102904015376431
families	311	0.9103323056788284
others	214	0.9104235503389414
decide	262	0.9104401402771437
example	282	0.9106332287245561
programs	324	0.9108450576577161
killed	273	0.9110788528979389
quality	281	0.9112198673726609
church	314	0.9112934810651866
stayed	232	0.9116505913237688
beginning	203	0.9116634946090378
hurt	239	0.9117793169553778
afraid	230	0.9121344645213408
caught	289	0.9121584277654119
personally	234	0.9122512085309157
issue	289	0.9125243280690992
particularly	263	0.9126121932973589
carry	248	0.91273600339172
cause	256	0.9134764061892756
originally	214	0.9135992946204051
alone	204	0.9136524438668684
income	404	0.913822029901827
clean	229	0.9139178828781073
walking	254	0.9142091284598843
meet	211	0.91429730090922
winter	396	0.9143839372531667
bigger	242	0.9144779469029806
lucky	213	0.9145824020694407
excuse	214	0.9145851670591413
miss	256	0.9146407740742276
crime	657	0.9146665806447658
support	274	0.9148804065149296
information	336	0.9149112959484775
higher	234	0.9152745711577779
teacher	326	0.9155243418940493
movie	853	0.9155932274867388
visit	233	0.9156837896334383
keeping	217	0.9157652032190631
keeps	205	0.915768582650919
waiting	241	0.9159120548942619
changes	296	0.9161304890805944
bed	210	0.9161615184094537
born	222	0.9164441618010514
boys	296	0.916600537329666
center	256	0.9169246555667696
death	468	0.9171000197212298
watched	269	0.9171215842776527
girls	239	0.9174884062445751
handle	228	0.9175639826297198
gee	216	0.9176810338603711
answer	213	0.917919130195684
ground	214	0.9182881027101496
market	243	0.9183867206761318
cases	335	0.9183928650976886
dog	731	0.918922821456934
social	331	0.9190509326463866
dinner	358	0.9190675225845892
strong	211	0.9190957869237492
power	287	0.9191882604681725
future	201	0.9192616863057737
sports	297	0.9192970167297231
raised	207	0.9193421782281631
available	225	0.9193470937654096
eleven	225	0.9194411034152222
books	565	0.9196893380461031
charge	301	0.9199034711373474
radio	378	0.9200180207106502
shows	348	0.9202085416676259
grade	283	0.9202470322348889
thanks	188	0.9202693714410349
feet	204	0.9204709084680875
gives	206	0.9204810467636566
words	209	0.9205861163722705
newspaper	360	0.9206515544618497
stick	192	0.9207461785538179
normally	205	0.9211477165025326
kill	241	0.921178438610315
trip	230	0.9215010207420303
grow	255	0.9216438785432172
health	564	0.9217292860028535
rate	243	0.9218497166653619
ooh	228	0.9219833578342138
houses	241	0.922003019983194
costs	244	0.9221280589618699
spring	264	0.9222656940047332
types	198	0.9224484905460388
drugs	520	0.9225004109081913
tax	746	0.9227830542997897
eighteen	233	0.9230254517301926
field	245	0.9231139314006057
generally	234	0.9231335935495861
individual	212	0.9232060977239535
poor	190	0.9234782955989034
write	259	0.9235873590815312
bill	259	0.9236193100736253
hopefully	193	0.9236325205799711
helps	197	0.9237022597646376
somehow	190	0.9237253013454746
park	259	0.9237388190728979
apparently	216	0.9237587884429558
moving	203	0.9240285285492864
drug	605	0.924131404447065
credit	818	0.9243001119820823
television	276	0.924356640660402
similar	208	0.924456794731774
west	225	0.9245059501042248
vacation	366	0.9246254591034978
oil	356	0.9249815283326941
neighborhood	274	0.9250230031782014
grown	173	0.9250577191599952
mess	181	0.9251584876735213
insurance	570	0.9252451240174686
shot	219	0.9253461997520709
busy	195	0.9253529586157843
history	228	0.9254847564581697
quit	195	0.9254958164169723
countries	317	0.9255649411594823
force	234	0.9256331442387586
students	305	0.925743129384621
fair	244	0.9258961254813771
calling	197	0.9259068782191008
light	212	0.9259351425582604
starts	176	0.9263775409103262
trees	313	0.9267265440547331
season	288	0.926838679748139
sudden	153	0.9270230123948342
bother	169	0.9271010465486007
normal	189	0.9271502019210535
private	282	0.9271938273141039
expect	183	0.9274847656748029
washington	232	0.9276826160489213
movies	525	0.9278230248592313
taxes	648	0.9279326940062694
university	338	0.9281495920872145
possible	184	0.9282012052282884
piece	189	0.9282454450634948
figured	156	0.9283535868828885
doctor	301	0.9284174888670759
cover	232	0.9284939869154544
basis	191	0.9285797015961671
basic	193	0.9286635729504128
everyday	178	0.9287142644282531
speak	198	0.9289413008047643
serious	213	0.9291345428627162
stopped	165	0.9292411485767209
military	291	0.9295941455951395
quick	170	0.9296549753685488
die	189	0.92981565199225
gas	277	0.92982271807704
turns	162	0.9299047461048199
willing	195	0.930026712872716
met	172	0.9300273273148708
average	189	0.930106897574028
based	190	0.9304224136209528
hands	154	0.930430401368976
hardly	156	0.9305394648516031
helped	186	0.9308233371275134
clothes	280	0.9308872555699729
happening	192	0.9312718799011361
weird	195	0.9312731087854467
reasons	160	0.9313542151499932
evening	202	0.9314288698719043
games	293	0.9314817118972887
sent	184	0.9315594388299785
notice	156	0.931590775379916
sat	160	0.9316663517650602
folks	171	0.9317075193894888
decision	256	0.9317440786977508
red	199	0.9317966135020578
rent	215	0.9318767982033708
finding	187	0.9319612839997734
wind	217	0.9320024516242005
apartment	249	0.9320970757161704
share	149	0.9324273383748303
everywhere	163	0.9325818705769753
homes	339	0.9326301042861944
heart	188	0.932632254833739
heavy	186	0.9326795668797234
hang	169	0.9328958505185109
ball	209	0.932913669341026
aware	195	0.9329152054464149
calls	220	0.9329440842277307
ran	157	0.9329526864179095
eating	185	0.9329668185874886
travel	187	0.9329671258085677
covered	163	0.9330740387436505
systems	213	0.9330792615019733
tape	203	0.9331683556145408
kidding	174	0.9332586786114216
teaching	238	0.9333462366186019
known	150	0.9334070663920101
wanting	151	0.9334470051321266
luck	163	0.9335548397304426
tired	160	0.9335677430157122
test	375	0.9336537772063467
shoot	187	0.9337619067368962
opinion	197	0.933941938288502
lady	175	0.9339566849002374
t	165	0.9339612932164031
sunday	200	0.9340577606348418
perhaps	216	0.9340967777117254
comfortable	219	0.9341133676499281
list	192	0.9343035374971007
so	369	0.934374812787153
allowed	179	0.9345167489251097
lake	378	0.9345492924149968
forward	151	0.9346159813332461
budget	532	0.9347483936177889
foot	178	0.9347871034735935
worst	164	0.9347910973476062
follow	184	0.9350384103152546
groups	161	0.9351526965562047
process	220	0.9352150624350033
background	170	0.9352460917638619
sick	209	0.9353342642131981
straight	157	0.9353791184905611
beat	182	0.9353877206807388
america	234	0.93563749141701
fit	153	0.9356955562007199
smaller	202	0.9357397960359254
out	142	0.9357766625652644
y	181	0.9359465558213009
bottom	138	0.9362236692334981
changing	168	0.9363864964047449
ride	206	0.9364092307645032
pass	153	0.9364150679649818
thirteen	161	0.9364482478413869
fire	188	0.9364943310030598
face	147	0.936614454444488
green	228	0.936668525354187
land	181	0.9367087713153806
grandmother	309	0.9367090785364579
became	148	0.9367109218629256
passed	153	0.9367367284334629
team	481	0.9368220988477293
add	153	0.9368405691577685
cool	193	0.9369895713805115
station	249	0.9372679136770207
forever	149	0.9372786664147441
horrible	158	0.9373192195970166
sometime	137	0.9374359636065898
sold	166	0.9374390358173678
excellent	206	0.9374915706216768
quickly	143	0.9375911102508918
learning	187	0.9377143059030997
president	222	0.9377499435481249
san	270	0.9381014044611574
machine	236	0.9382310517559974
party	247	0.9382986403931188
sixteen	146	0.9384015594541896
entire	146	0.9384239865928709
ridiculous	163	0.9385186106848401
wondering	158	0.9385646938465159
cities	160	0.9386135419978888
afternoon	148	0.9386356619154914
lunch	186	0.9387149249535703
hospital	236	0.9387155393957263
push	155	0.9387189188275824
environment	194	0.938735815986863
music	759	0.9387981818656614
position	165	0.9388384278268557
opportunity	169	0.9390583981185774
medical	280	0.9391001801851628
stuck	139	0.9391112401439626
choose	179	0.9391852804237194
mainly	173	0.9391923465085085
however	154	0.9392184603001248
economy	200	0.9392826695053895
fan	233	0.9393057110862257
warm	189	0.9393401198469409
classes	211	0.9393911185458608
staying	138	0.9394838993113629
space	309	0.9395600901386636
respect	157	0.9395662345602207
benefit	217	0.9395766800768669
view	170	0.9396031010895597
sisters	176	0.9397232245309884
color	180	0.9397345917108672
graduate	193	0.9398040236744551
somewhat	149	0.9398872805865451
yesterday	154	0.9399407370540869
well	408	0.9399499536864195
bucks	175	0.9401167747316809
cannot	131	0.9402304465304747
um	531	0.9403170828744193
shop	168	0.9403189262008892
incredible	144	0.9404399713055503
wear	555	0.9404492875771548
saturday	170	0.940472843960877
instance	146	0.9407263013500831
picture	137	0.9410153963843138
wild	142	0.9410713106204778
wall	165	0.9411269176355654
tonight	167	0.9411407425840665
neighbor	136	0.9413926638678822
compared	154	0.9417456608863022
easily	147	0.9417708530146823
hi	196	0.9417720818989951
separate	183	0.9419554928824561
total	162	0.9419779200211363
finished	138	0.9419923594117939
property	193	0.9420043410338284
taught	173	0.942066092470472
depending	133	0.9420839112929856
helping	137	0.9421201633801681
carolina	190	0.9421419760766924
yours	149	0.9426467403075581
dead	157	0.9426823779525859
card	550	0.9426900584795315
harder	144	0.9427705504019218
shape	160	0.9428482773346099
