lexeme	frequency	dispersion
kiš	0.867798230934736	2
qatqʷ	0.867798230934736	1
c̓us-ʼitap	0.867798230934736	1
waʔič-ʼas	0.867798230934736	1
hiɬ-c-ʼapuɬa	0.867798230934736	2
ʔuna-či·ɬ	0.867798230934736	1
ʔiq-siɬa	0.867798230934736	2
siy̓aːq	0.867798230934736	1
ḥayu-(č)ink	0.867798230934736	1
ḥaw̓iɬ-im-matak	0.867798230934736	1
n̓uːčyu	0.867798230934736	1
sačk̓aḥs	0.867798230934736	2
sačk	0.867798230934736	1
n̓ač-ʼatu	0.867798230934736	1
ʔuk-(k)tis	0.867798230934736	1
puːɬ	0.867798230934736	1
n̓ač	0.867798230934736	1
ƛ̓utx̣-iːk̓	0.867798230934736	1
wik-ʔaɬ-ʼaqstup-maḥsa	0.867798230934736	1
t̓iqʷ-ʼas	0.867798230934736	1
ʔatquː	0.867798230934736	1
qʷayaːc̓ik-m̓i·t-ckʷi·	0.867798230934736	1
tač-yu·	0.867798230934736	1
m̓ay̓uk	0.867798230934736	1
hita-ʔa·tqu-ʼiḥta	0.867798230934736	1
ša-ʼiḥta-im	0.867798230934736	1
m̓u	0.867798230934736	1
ƛ̓up-y̓i·ḥa	0.867798230934736	3
c̓a-ʼatu	0.867798230934736	1
ƛ̓up-mis	0.867798230934736	1
qi-ʔiː-ʼi·č	0.867798230934736	1
qi-ḥta	0.867798230934736	1
ʕita	0.867798230934736	1
ʔu-caqc̓u	0.867798230934736	1
qʷi-cpa·	0.867798230934736	1
yaːqƛ	0.867798230934736	1
ʕawatk	0.867798230934736	1
humaqƛ-ʼi·c	0.867798230934736	1
nu	0.867798230934736	1
nu-ʼi(ƛ)	0.867798230934736	1
n̓up-c̓iq-iːyas	0.867798230934736	1
huyuːɬ	0.867798230934736	4
c̓iḥati-iːyas	0.867798230934736	1
mustati-iːyas	0.867798230934736	1
n̓up	0.867798230934736	1
ḥaw̓iɬ-isim	0.867798230934736	1
ƛ̓is-imɬ	0.867798230934736	1
kʷaː	0.867798230934736	1
kuḥ-yu·	0.867798230934736	1
wik-st̓iːḥ-w̓it̓as	0.867798230934736	1
dup-ʔani-sapi	0.867798230934736	1
k̓ic	0.867798230934736	2
tak-aːt-ʔis	0.867798230934736	1
his-i·kʷ-asu·	0.867798230934736	1
putqʷaː-ʼakƛi	0.867798230934736	2
wax-ʼik	0.867798230934736	2
kapx	0.867798230934736	1
ʔaḥkuː	0.867798230934736	1
tušaːk-it	0.867798230934736	1
qaḥʔeːy	0.867798230934736	1
ʕuy̓i-c̓u·	0.867798230934736	1
p̓atqʷ-sac	0.867798230934736	1
c̓i	0.867798230934736	2
c̓a	0.867798230934736	1
ʔuḥ-matak	0.867798230934736	1
ʔaya-(c)sapi	0.867798230934736	1
saya-iːḥst-ʕaƛ	0.867798230934736	1
mis	0.867798230934736	1
mis-p̓u·qs-y̓i·ḥa	0.867798230934736	1
ʔayisaq-siɬa-w̓it̓as	0.867798230934736	1
ƛ-ʼi·ƛ	0.867798230934736	1
qac-a·s	0.867798230934736	1
c̓isimc	0.867798230934736	1
ʼiːḥʷ	0.867798230934736	2
wik-st̓iːḥ	0.867798230934736	2
ʔuncukʷ	0.867798230934736	1
tuč̓iː-cpa·	0.867798230934736	2
hita-aqƛiɬ	0.867798230934736	1
huʔa-ca·qs	0.867798230934736	1
qʷaː-qčik	0.867798230934736	1
ʕumaː	0.867798230934736	1
wiːnap-ʼi·ƛ	0.867798230934736	1
ʕuq	0.867798230934736	1
ḥus-p	0.867798230934736	1
hin-in-ckʷi·	0.867798230934736	1
c̓i-c̓uq	0.867798230934736	1
ʔana-ḥʷʼaɬ	0.867798230934736	1
č̓up	0.867798230934736	1
ƛawa-čaƛ	0.867798230934736	1
ča-ḥta·k	0.867798230934736	1
wiːnap-ʔi·(ƛ)	0.867798230934736	1
cus	0.867798230934736	2
kʷa-ʔi·(ƛ)	0.867798230934736	1
waxʷ	0.867798230934736	1
muš	0.867798230934736	1
wimac	0.867798230934736	1
sus-pʔiɬ	0.867798230934736	2
ʔaya-iːy̓ap	0.867798230934736	1
ʔu-cpinƛ	0.867798230934736	1
ʔu-ca-aːpi	0.867798230934736	1
wik-(w)aƛ	0.867798230934736	1
huʔa-a·n̓u	0.867798230934736	1
waʔič-ʼi(ƛ)	0.867798230934736	1
tak-a·n̓uː(ƛ)	0.867798230934736	1
ƛaʔu-(k)taq-api	0.867798230934736	1
hamip	0.867798230934736	1
suw̓aːq	0.867798230934736	2
ʔu-ʼi(ƛ)	0.867798230934736	1
ḥaaː	0.867798230934736	1
ɬipḥ	0.867798230934736	1
taː	0.867798230934736	1
taː-miːqƛa	0.867798230934736	1
p̓aʕim	0.867798230934736	3
hiɬ-api	0.867798230934736	1
m̓a-ʼatu	0.867798230934736	1
m̓a-waḥsuɬ	0.867798230934736	1
hiːʔaḥs	0.867798230934736	1
nuːtx-a·n̓uːp	0.867798230934736	1
c̓iwaːp	0.867798230934736	1
ʔana-iːḥtak	0.867798230934736	1
c̓iyup	0.867798230934736	1
tušaːk	0.867798230934736	1
c̓iːšcy̓ak	0.867798230934736	1
huʔaɬ	0.867798230934736	1
hita-inq-ʼu·(ƛ)	0.867798230934736	1
hask̓aːmac	0.867798230934736	3
hitawa-ʼiːk	0.867798230934736	1
dup-ʔu-kʷiɬ	0.867798230934736	2
dup-hitawa-ʼiːk	0.867798230934736	1
qaḥ-tak	0.867798230934736	1
tač-kʷa	0.867798230934736	1
ḥiyiːḥi	0.867798230934736	1
tuxʷ-i·č	0.867798230934736	1
pisat	0.867798230934736	1
dup-p̓iš-wa·	0.867798230934736	1
dup-ƛuɬ-wa·	0.867798230934736	1
c̓awa-umɬ	0.867798230934736	1
wik-iːp	0.867798230934736	3
dup-ʔu-p̓iqš	0.867798230934736	2
muːḥinƛ-as	0.867798230934736	7
ḥaːwi-m̓i·t	0.867798230934736	1
