item	gloss	aspect	frequency	rel_freq	flexibility	flexibility_broad	definite	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm	language
important		NA	590	0.181260435915987	0.0634279219174547	0.525807428076662	0	0	0	151	0	420	2	0.0463903827513798	0	0.000614442155647415	0.129032852685957	0	0.839235888587369	0.999186478585921	1	0.941859332685096	1	0.876040299944327	0.83926811869437	0.999224851452903	1	0.941895503954086	English
job		NA	1283	0.394164642847816	0.23901681429915	0	0	0	0	94	0	0	1185	0.0288787813154285	0	0.364056977221093	0	0	0.692606223702073	0.700843802134613	1	0.971174675152112	1	1	0.692632822627361	0.700870717416766	1	0.971211972250726	English
know		NA	44687	13.728788304708	0.0304322220878496	0.605692577516802	0	47	341	51	11496	54	7	0.0156682749690091	3.53181351066134	0.00215054754476595	0.0165899382024802	0.119201778195598	0.21370561862285	0.997919806082055	0.265243837264636	0.977082229257583	0.851818364754369	0.977789452178734	0.213713825796838	0.997958130303607	0.265254023718019	0.977119753230552	English
large		NA	509	0.156375528612267	0.0418193990657038	0.312227090363576	0	0	0	428	1	52	2	0.131490621308547	0.000307221077823707	0.000614442155647415	0.0159754960468328	0	0.845135999090625	0.999331794155733	0.999466971429974	0.86770230892001	1	0.977121553555545	0.845168455786117	0.999370172603429	0.999505355069033	0.867735632254536	English
like		NA	3768	1.15760902123973	0.00264952000585224	0.533357058124595	0	8	0	0	3105	3	1	0	0.953921446642611	0.000307221077823707	0.000921663233471122	0.00245776862258966	0.446601686277792	0.99943071934279	0.504810741464045	1	0.995489072914313	0.996742227690756	0.446618837617876	0.999469101589621	0.504830128271061	1	English
little		NA	5657	1.73794963724871	0.510607338355838	0.129428765726826	0	0	0	4062	0	135	1345	1.2479320181199	0	0.413212349672886	0.0414748455062005	0	0.361803307122701	0.610420395326943	1	0.40920860578698	1	0.94760006574531	0.361817201856543	0.610443837978675	1	0.409224321079104	English
live		NA	3399	1.04424444352278	0.349188311513083	0.598958683366942	0	213	205	148	2626	11	132	0.0454687195179087	0.806762550365055	0.0405531822727294	0.00337943185606078	0.12841841053031	0.480135010946432	0.946137693414869	0.52924236400695	0.937517069971136	0.847020800403074	0.995801209529382	0.48015345010399	0.946174028990493	0.529262689088674	0.937553074479393	English
look		NA	3614	1.11029697525488	0.263104251566607	0.570058124302648	0	153	347	103	2713	30	89	0.0316437710158419	0.833490784135718	0.02734267592631	0.00921663233471122	0.153610538911854	0.431836321868873	0.965462206431057	0.469607200429975	0.944851358762021	0.816378588534201	0.983293010566868	0.431852906158284	0.965499284147397	0.469625235276344	0.944887644937108	English
make		NA	5712	1.75484679652902	0.129484924449698	0.499123879327948	0	194	999	91	4029	137	25	0.0279571180819574	1.23779372255172	0.00768052694559268	0.0420892876618479	0.366514745843683	0.351715572357451	0.990663858666014	0.386932404755224	0.960431461281694	0.64117111794149	0.945444909884376	0.351729079680821	0.990701904229366	0.386947264549683	0.960468345796745	English
man		NA	933	0.286637265609519	0.101103810517266	0.387623963095164	0	0	1	16	1	1	752	0.00491553724517932	0.000307221077823707	0.231030250523428	0.000307221077823707	0.000307221077823707	0.765083510517657	0.804742955804711	0.999206755177056	0.99419782272422	0.999678339531517	0.999686941721697	0.765112892868608	0.804773861241343	0.999245128822742	0.994236004006316	English
manage		NA	150	0.0460831616735561	0.194982941272628	0.692208534435103	0	4	14	5	119	2	1	0.00153610538911854	0.0365593082610212	0.000307221077823707	0.000614442155647415	0.00552997940082673	0.942879921105626	0.999419966605066	0.95261422095647	0.997269111839224	0.993858036212147	0.999264205518612	0.942916131569406	0.999458348438947	0.952650805257368	0.997307411071442	English
money		NA	2293	0.704457931449761	0.0662282338110859	0.594043216621274	0	1	0	29	1	9	2220	0.00890941125688751	0.000307221077823707	0.68203079276863	0.00276498970041337	0.000307221077823707	0.622041195719145	0.625290767105704	0.999705989428522	0.987990420846792	0.999690013932476	0.995777246285312	0.622065084657368	0.625314780840823	0.999744382246855	0.988028363739146	English
more		NA	6191	1.90200569280657	0.545397772019917	0.181930423979393	0	0	0	3500	12	186	1294	1.07527377238298	0.00368665293388449	0.397544074703877	0.0571431204752096	0	0.355457727948176	0.60595367193042	0.994256194729006	0.428708670371314	1	0.923540354256624	0.355471378985699	0.605976943041617	0.994294378252826	0.428725134546055	English
move		NA	1267	0.389249105602637	0.235851204202633	0.41828862753868	0	69	142	18	948	12	41	0.00552997940082673	0.291245581776875	0.012596064190772	0.00368665293388449	0.0648236474208023	0.678138278192126	0.981623571229974	0.737551154010839	0.993641138131204	0.917860758190897	0.990642660411644	0.67816432148885	0.981661269609137	0.737579479006154	0.993679298034323	English
much		NA	5470	1.68049929569568	0.429008627393495	0.251822953069275	0	0	0	640	15	55	3240	0.196621489807173	0.00460831616735561	0.995396292148812	0.0168971592803039	0	0.329558550354485	0.405796301672665	0.992876772089578	0.764787575345969	1	0.974960867715211	0.329571206757155	0.405811885918288	0.9929149026379	0.764816946331793	English
name		NA	922	0.283257833753458	0.485149441577229	0.643376350761319	0	2	6	70	66	14	755	0.0215054754476595	0.0202765911363647	0.231951913756899	0.0043010950895319	0.00245776862258966	0.755299116589121	0.781307981938288	0.971125827000737	0.968784802387721	0.996675867937946	0.987778131082014	0.755328123179135	0.781337987375617	0.971163122223381	0.968822007705399	English
need		NA	2711	0.832876341980071	0.219730397704543	0.818372207408221	0	9	7	3	2475	21	164	0.000921663233471122	0.760372167613676	0.050384256763088	0.00645164263429785	0.00491553724517932	0.500672946919376	0.943316175036137	0.517464962483418	0.999136401550237	0.993091826844055	0.99104849945545	0.500692174818077	0.943352402253861	0.517484835264524	0.999174772494054	English
never		NA	3024	0.929036539338891	0.72483409150576	0.630929753571458	0	0	0	2	10	2	2	0.000614442155647415	0.00307221077823707	0.000614442155647415	0.000614442155647415	0	0.441380479260493	0.998797536701396	0.994552355848029	0.999362823484593	1	0.999044235226889	0.441397430084771	0.998835894631411	0.994590550745653	0.999401203123944	English
old		NA	1977	0.607376070857469	0.0543810736956289	0.559507829122442	0	0	0	838	3	367	5	0.257451263216267	0.000921663233471122	0.00153610538911854	0.112750135561301	0	0.564769697021952	0.998261128699518	0.998166811828624	0.748535412414949	1	0.857260478926937	0.564791386499265	0.998299466029261	0.998205145536212	0.748564159250927	English
one		NA	13052	4.00984950775503	0.571270727049845	0.241587286607422	0	0	0	3944	1	318	8384	1.2116799309367	0.000307221077823707	2.57574151647396	0.0976963027479389	0	0.245001017772212	0.309726506497837	0.999574806028291	0.367860603178234	1	0.867882340471615	0.245010426818138	0.309738401268523	0.999613193808643	0.367874730537136	English
order		NA	300	0.0921663233471122	0.690599934525403	0.384766393172661	0	5	12	3	65	0	92	0.000921663233471122	0.019969370058541	0.0282643391597811	0	0.00522275832300302	0.893391229145448	0.969295711040142	0.973183593780001	0.998925647890849	0.990915165507674	1	0.89342553904008	0.969332935978812	0.973220968029346	0.99896401074086	English
other		NA	4845	1.48848612205586	0.44122728305558	0.00219234936650615	0	0	0	3841	0	1	895	1.18003615992086	0	0.274962864652218	0.000307221077823707	0	0.338176601337912	0.683460119095537	1	0.369976326264405	1	0.999732717662293	0.338189588709156	0.683486366772822	1	0.369990534875769	English
paint		NA	490	0.150538328133617	0.919060791410849	0.717909588351144	0	101	29	47	139	13	131	0.0144393906577142	0.0427037298174953	0.0402459611949057	0.00399387401170819	0.039938740117082	0.953633379858516	0.981387625442205	0.976232762977401	0.985854619913762	0.981775645663497	0.996617495933159	0.953670003299304	0.981425314760081	0.976270254327374	0.985892480782582	English
pay		NA	2979	0.915211590836824	0.321885392245544	0.549399131805943	0	200	632	80	1789	108	89	0.0245776862258966	0.549618508226612	0.02734267592631	0.0331798764049604	0.255607936749324	0.64829975154029	0.971287118066596	0.701170343068737	0.975077611724784	0.796315116172104	0.96033468664218	0.648324648914968	0.971324419483479	0.701197270891404	0.975115058712202	English
person		NA	1171	0.359755882131561	0.0131079606493413	0	0	0	0	1	1	0	1111	0.000307221077823707	0.000307221077823707	0.341322617462139	0	0	0.689970214470497	0.698052846220294	0.99968939949032	0.999628262495832	1	1	0.689996712162198	0.69807965431827	0.999727791671531	0.999666652329131	English
