item	frequency	REF	PRED	MOD	dispersion	dispersionREF	dispersionPRED	dispersionMOD	dispersionNorm	dispersionREFNorm	dispersionPREDNorm	dispersionMODNorm	gloss
c̓itkʷ	1	0	1	0	0.9782452785082476	1	0.9782452785082476	1	0.9856678309044923	1	0.9856678309044923	1	roll.over
c̓itkʷ-ʽpiƛ	1	0	1	0	0.9566100884532632	1	0.9566100884532632	1	0.9638684812718296	1	0.9638684812718296	1	roll.over-in.house
c̓iwaːp	1	1	0	0	0.867798230934736	0.867798230934736	1	1	0.8743827532217272	0.8743827532217272	1	1	innards
c̓ixʷatin	1	1	0	0	0.977049964140569	0.977049964140569	1	1	0.9844634469468867	0.9844634469468867	1	1	
c̓iyup	1	1	0	0	0.867798230934736	0.867798230934736	1	1	0.8743827532217272	0.8743827532217272	1	1	innards
c̓iš	1	0	1	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	filth
c̓iš-p̓u·qs-mip̓it	1	0	1	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	filth-smelling.of-??
c̓iːk	1	1	0	0	0.9782452785082476	0.9782452785082476	1	1	0.9856678309044923	0.9856678309044923	1	1	imitate
c̓iːk-iːkʷ	1	0	1	0	0.9751374611522831	1	0.9751374611522831	1	0.9825364326147176	1	0.9825364326147176	1	intimate-one.who.always.does
c̓iːk-s	1	0	1	0	0.9782452785082476	1	0.9782452785082476	1	0.9856678309044923	1	0.9856678309044923	1	imitate-??
c̓iːk-ʔaɬ	3	0	3	0	0.9533827396605308	1	0.9533827396605308	1	0.9606166445862941	1	0.9606166445862941	1	imitate-??
c̓iːq	11	2	9	0	0.7284245756633996	0.8766435572555582	0.7284245756633996	1	0.7339515837649043	0.8832951945080092	0.7339515837649043	1	sing
c̓iːqaː	1	0	1	0	0.887042792254363	1	0.887042792254363	1	0.8937733349391788	1	0.8937733349391788	1	
c̓iːsapiq	1	0	1	0	0.9158498685154195	1	0.9158498685154195	1	0.9227989883174755	1	0.9227989883174755	1	make.a.phone.call
c̓iːšcy̓ak	1	0	1	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	
c̓iːḥati	2	1	1	0	0.8497489839827875	0.9819507530480517	0.867798230934736	1	0.8561965554618813	0.9894014211730701	0.8743827532217272	1	
