item	gloss	frequency	rel_freq	flexibility	flexibility_broad	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm
important		590	0.1812604359159873	0.06342792191745472	0.5258074280766616	0	0	151	0	420	2	0.046390382751379806	0	0.0006144421556474146	0.12903285268595707	0	0.8392358885873685	0.9991864785859219	1	0.9418593326850966	1	0.8760402999443274	0.8392681186943696	0.9992248514529034	1	0.9418955039540868
job		1283	0.3941646428478165	0.23901681429914978	0	0	0	94	0	0	1185	0.028878781315428488	0	0.3640569772210932	0	0	0.6926062237020737	0.7008438021346135	1	0.9711746751521134	1	1	0.6926328226273617	0.700870717416766	1	0.9712119722507272
know		44687	13.72878830470801	0.030429984822797088	0.6064800502467086	47	340	51	11497	54	7	0.015668274969009074	3.532120731739163	0.002150547544765951	0.016589938202480194	0.11889455711777473	0.21370561862284995	0.9979198060820553	0.26518387638651714	0.9770822292575834	0.8518183647543688	0.9777894521787335	0.21371382579683834	0.9979581303036072	0.265194060537156	0.9771197532305522
large		509	0.15637552861226703	0.0418193990657038	0.3122270903635762	0	0	428	1	52	2	0.13149062130854675	0.0003072210778237073	0.0006144421556474146	0.01597549604683278	0	0.8451359990906259	0.9993317941557328	0.9994669714299731	0.8677023089200103	1	0.9771215535555454	0.845168455786117	0.9993701726034293	0.9995053550690325	0.8677356322545362
like		3768	1.1576090212397292	0.002649520005852242	0.5333570581245947	8	0	0	3105	3	1	0	0.9539214466426112	0.0003072210778237073	0.000921663233471122	0.0024577686225896586	0.446601686277792	0.99943071934279	0.5048107414640457	1	0.9954890729143129	0.9967422276907549	0.4466188376178757	0.9994691015896203	0.5048301282710613	1
little		5654	1.7370279740152412	0.510699921488167	0.12947628025354116	0	0	4060	0	135	1345	1.2473175759642519	0	0.41321234967288634	0.04147484550620049	0	0.3622140616501159	0.6104203953269433	1	0.4094861079736348	1	0.9476000657453097	0.36222797215861896	0.6104438379786751	1	0.4095018339229834
live		3399	1.0442444435227811	0.34918831151308305	0.598958683366942	213	205	148	2626	11	132	0.045468719517908686	0.8067625503650554	0.04055318227272937	0.0033794318560607804	0.12841841053030967	0.48013501094643246	0.9461376934148686	0.5292423640069494	0.9375170699711358	0.8470208004030746	0.9958012095293818	0.4801534501039902	0.9461740289904931	0.5292626890886736	0.9375530744793932
look		3614	1.1102969752548784	0.2631042515666067	0.570058124302648	153	347	103	2713	30	89	0.03164377101584186	0.833490784135718	0.027342675926309953	0.00921663233471122	0.15361053891185367	0.431836321868873	0.9654622064310578	0.4696072004299747	0.9448513587620206	0.8163785885342011	0.9832930105668672	0.4318529061582844	0.965499284147397	0.4696252352763441	0.9448876449371082
make		5711	1.7545395754511925	0.12948492444969814	0.49797383810596785	194	999	91	4029	136	25	0.027957118081957368	1.2377937225517168	0.007680526945592683	0.0417820665840242	0.3665147458436828	0.3516729927271035	0.9906638586660153	0.38693240475522384	0.9604314612816939	0.6411711179414901	0.9454449098843765	0.3516864984152409	0.9907019042293677	0.3869472645496833	0.9604683457967453
man		933	0.28663726560951897	0.10110381051726648	0.3876239630951644	0	1	16	1	1	752	0.004915537245179317	0.0003072210778237073	0.2310302505234279	0.0003072210778237073	0.0003072210778237073	0.7650835105176567	0.8047429558047114	0.9992067551770559	0.9941978227242209	0.9996783395315174	0.9996869417216975	0.7651128928686072	0.8047738612413433	0.9992451288227419	0.9942360040063162
manage		150	0.0460831616735561	0.19498294127262775	0.6922085344351031	4	14	5	119	2	1	0.0015361053891185367	0.036559308261021176	0.0003072210778237073	0.0006144421556474146	0.005529979400826732	0.9428799211056267	0.9994199666050664	0.95261422095647	0.9972691118392241	0.9938580362121469	0.9992642055186116	0.9429161315694065	0.9994583484389473	0.9526508052573676	0.9973074110714429
money		2293	0.7044579314497609	0.06622823381108592	0.5940432166212744	1	0	29	1	9	2220	0.008909411256887512	0.0003072210778237073	0.6820307927686303	0.002764989700413366	0.0003072210778237073	0.6220411957191455	0.6252907671057055	0.9997059894285228	0.9879904208467926	0.9996900139324755	0.9957772462853115	0.6220650846573686	0.6253147808408241	0.9997443822468556	0.9880283637391462
more		6191	1.902005692806572	0.5453443511193018	0.18120499654966443	0	0	3501	12	185	1294	1.0755809934607994	0.003686652933884488	0.39754407470387726	0.056835899397385856	0	0.35545772794817576	0.6059536719304209	0.9942561947290066	0.4287079758734153	1	0.9238893574010322	0.3554713789856992	0.6059769430416181	0.9942943782528267	0.4287244400214844
move		1267	0.3892491056026372	0.2358512042026334	0.4182886275386798	69	142	18	948	12	41	0.005529979400826732	0.29124558177687454	0.012596064190772001	0.003686652933884488	0.06482364742080225	0.6781382781921256	0.9816235712299736	0.7375511540108391	0.9936411381312045	0.9178607581908971	0.990642660411644	0.6781643214888493	0.981661269609137	0.7375794790061543	0.9936792980343236
much		5470	1.680499295695679	0.4290086273934949	0.25182295306927455	0	0	640	15	55	3240	0.1966214898071727	0.00460831616735561	0.9953962921488118	0.016897159280303903	0	0.32955855035448495	0.40579630167266445	0.9928767720895779	0.7647875753459689	1	0.9749608677152113	0.3295712067571549	0.40581188591828765	0.9929149026378999	0.7648169463317926
name		922	0.28325783375345814	0.4851494415772287	0.6433763507613189	2	6	70	66	14	755	0.021505475447659513	0.020276591136364683	0.23195191375689903	0.004301095089531902	0.0024577686225896586	0.7552991165891214	0.7813079819382884	0.9711258270007375	0.9687848023877212	0.9966758679379467	0.9877781310820141	0.7553281231791357	0.7813379873756168	0.9711631222233815	0.9688220077053996
need		2711	0.8328763419800705	0.21973039770454314	0.8183722074082209	9	7	3	2475	21	164	0.000921663233471122	0.7603721676136757	0.050384256763088005	0.006451642634297854	0.004915537245179317	0.5006729469193765	0.9433161750361375	0.517464962483418	0.9991364015502373	0.9930918268440553	0.9910484994554501	0.5006921748180772	0.9433524022538611	0.5174848352645239	0.9991747724940548
never		3024	0.929036539338891	0.7248340915057601	0.6309297535714575	0	0	2	10	2	2	0.0006144421556474146	0.0030722107782370734	0.0006144421556474146	0.0006144421556474146	0	0.4413804792604931	0.9987975367013973	0.9945523558480291	0.9993628234845933	1	0.9990442352268895	0.44139743008477056	0.998835894631412	0.9945905507456534	0.9994012031239435
old		1977	0.6073760708574694	0.054381073695628925	0.5595078291224419	0	0	838	3	367	5	0.25745126321626677	0.000921663233471122	0.0015361053891185367	0.11275013556130059	0	0.564769697021953	0.9982611286995171	0.998166811828624	0.7485354124149489	1	0.857260478926938	0.5647913864992663	0.9982994660292601	0.9982051455362116	0.7485641592509271
one		13050	4.0092350655993805	0.5712885919620436	0.2410892316611585	0	0	3944	1	317	8383	1.2116799309367017	0.0003072210778237073	2.5754342953961387	0.09738908167011523	0	0.24510454706793774	0.309732076758372	0.9995748060282912	0.36786060317823316	1	0.8693084607148719	0.24511396008981381	0.309743971742978	0.9996131938086423	0.36787473053713565
order		300	0.0921663233471122	0.6905999345254026	0.3847663931726611	5	12	3	65	0	92	0.000921663233471122	0.019969370058540978	0.028264339159781073	0	0.005222758323003025	0.8933912291454491	0.9692957110401423	0.9731835937800009	0.9989256478908493	0.990915165507674	1	0.8934255390400815	0.9693329359788125	0.9732209680293457	0.9989640107408602
other		4845	1.488486122055862	0.4412272830555796	0.0021923493665061506	0	0	3841	0	1	895	1.1800361599208598	0	0.2749628646522181	0.0003072210778237073	0	0.33817660133791183	0.683460119095537	1	0.3699763262644049	1	0.9997327176622928	0.33818958870915583	0.6834863667728218	1	0.36999053487576855
