item	frequency	REF	PRED	MOD	dispersion	dispersionREF	dispersionPRED	dispersionMOD	dispersionNorm	dispersionREFNorm	dispersionPREDNorm	dispersionMODNorm
right	9104	312	1369	305	0.30830164903370205	0.9176405899779048	0.6460813690643737	0.8797855959498398	0.3083134890840051	0.9176758311476471	0.6461061812440475	0.8798193833322445
run	1662	434	1063	106	0.6078404377348012	0.8554116224805947	0.6957742363568874	0.9551524815014503	0.6078637813055591	0.8554444738022522	0.6958009569468804	0.9551891632819839
say	8784	903	7406	96	0.30266232466332815	0.6848620360723775	0.32356011642046045	0.9559220703013981	0.3026739481404003	0.6848883375890353	0.3235725424586165	0.9559587816373043
see	8266	1479	5580	11	0.3433561933876207	0.6275912564145912	0.3940175384585049	0.993585838337194	0.3433693796764852	0.6276153584979534	0.3940326703512153	0.9936239961165739
seven	695	54	17	344	0.7669676317066432	0.976102808461482	0.9894693831154348	0.8681278101127958	0.7669970864155902	0.9761402948206672	0.9895073828060172	0.8681611497883162
six	1185	81	17	760	0.6482738851797776	0.960345132158826	0.9911624784753224	0.733449923732367	0.6482987815610805	0.9603820133584843	0.9912005431877245	0.7334780912235852
something	5418	5092	315	0	0.34066283978415113	0.3470523536126523	0.8677255699444739	1	0.3406759226371688	0.34706568184925896	0.8677588941723188	1
sound	1150	60	1056	24	0.6791817353596287	0.9689000102919045	0.7007671345224733	0.9924684752771513	0.6792078187293957	0.9689372200340398	0.7007940468602745	0.9925065901451978
stick	377	78	250	28	0.8530168341789587	0.9632603529662956	0.8964996766498146	0.987051860454041	0.8530495935309039	0.9632973461224132	0.8965341059216054	0.9870897673018184
take	6186	1240	4646	34	0.3410254639087816	0.6323077277943945	0.37114875305957323	0.9851947090385971	0.3410385606880558	0.6323320110096401	0.37116300669694396	0.9852325445641281
talk	3308	1140	2004	70	0.42003765885881456	0.6560279847679776	0.5255962119420341	0.9688078439685578	0.42005379003107923	0.6560531789385705	0.525616396996535	0.9688450501711275
thing	10666	10652	8	0	0.2667349592104725	0.2669019349933111	0.9968562067106272	1	0.26674520292906606	0.2669121851244609	0.9968944900855924	1
think	21082	805	20091	58	0.2616267795407689	0.7229735313680389	0.26672023818728546	0.9700404149327865	0.26163682708427083	0.7230012965227371	0.2667304813405312	0.9700776684711465
three	2560	269	33	1964	0.47660634380803535	0.8970302474512167	0.9823013009276537	0.5237688762128584	0.4766246474502737	0.8970646970991069	0.9823390253344226	0.5237889910901578
time	7523	7322	57	93	0.3091754053528669	0.3135396704862279	0.9722109318476106	0.9574253030351895	0.30918727895900333	0.31355171169808055	0.9722482687427401	0.9574620721014103
transfer	80	18	50	9	0.9676726620859994	0.9928285383803604	0.97719989493039	0.9965004447025084	0.9677098246929198	0.9928666670763098	0.9772374234222041	0.9965387144147504
try	3814	650	2774	109	0.4065437868061514	0.762858505433263	0.45354596356639976	0.9513460123472128	0.40655939975827554	0.7628878023348744	0.45356338159526915	0.951382547943688
two	4232	649	26	3106	0.38303111091377023	0.763718182905289	0.9855513927099506	0.4239842218494795	0.38304582088251365	0.7637475128220483	0.9855892419336004	0.4240005045859816
understand	896	124	758	3	0.7241877318147624	0.9498261896752199	0.7537776671781891	0.9987830973107387	0.7242155435997476	0.9498626669042588	0.7538066153382934	0.9988214546862214
want	5053	86	4903	23	0.3738679335644333	0.9596615652606671	0.3787186383497143	0.9885249855222046	0.37388229162951003	0.9596984202085475	0.37873318270178896	0.9885629489440385
watch	2134	682	1335	40	0.7301227291051837	0.8395167994454092	0.7917245584227733	0.9797633476037506	0.730150768818455	0.8395490403405417	0.791754963899446	0.9798009745426821
way	3962	3730	4	1	0.3764562230431291	0.38788841933071	0.9979760275392963	0.9993855578443507	0.3764706805091585	0.387903315840058	0.9980143539199832	0.9994239383567938
week	1493	1476	0	3	0.6274191756208821	0.6286905053738024	1	0.9987935428273835	0.6274432710956346	0.628714649672842	1	0.998831900604017
whole	1753	41	0	1682	0.5455503739907954	0.9799627340832587	1	0.5508004746554696	0.5455713253671216	0.9800003686794504	1	0.5508216276572367
woman	1109	967	3	38	0.827459995594494	0.8372112313881633	0.9990703490185036	0.9929302285571189	0.8274917734588105	0.8372433837400075	0.9991087174256325	0.9929683611583889
wonder	669	59	589	4	0.7929975099731637	0.9748339854100702	0.8136596635621972	0.9983317895474163	0.7930279643364071	0.974871423041236	0.8136909114370506	0.9983701295908263
work	6365	2154	3733	323	0.42302116209857593	0.5636916271768853	0.4719212308068419	0.9049866589246958	0.42303740784962585	0.5637132752518861	0.47193935452148733	0.9050214141314836
worst	152	32	3	111	0.9367130724104714	0.9863535469441479	0.999054373522458	0.954655397797531	0.9367490460419183	0.9863914269738168	0.9990927413160621	0.9546920604880076
year	6773	6728	4	3	0.3548135005318436	0.35511705472844096	0.9981557518698227	0.9987723445730151	0.35482712682838674	0.35513069268271275	0.9981940851526625	0.9988107015355486
